ID,IP/CIDR,Scanner Name,Scanner Type,Source File,Country Code,Country Name,ISP,Organization,Abuse Confidence Score,Abuse Reports,Usage Type,Domain,Last Seen,First Seen,Tags,Notes,Risk Level,Export Date
scanner_157,104.248.190.0,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_158,104.248.190.15,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_159,104.248.191.249,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_160,104.248.191.33,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_161,104.248.191.38,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_162,104.248.208.124,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_163,104.248.209.13,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_164,104.248.209.45,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_165,104.248.211.20,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_166,104.248.211.228,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_167,104.248.211.46,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_168,104.248.211.63,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_169,104.248.214.126,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_170,104.248.214.166,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_171,104.248.214.56,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
